Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
PUENTE ALTO;275.147;20.644;21.671;20.363;22.296;25.268;24.777;20.048;18.318;17.933;17.620;19.167;17.139;12.032;7.638;4.788;2.710;1.551;833;245;76;30
PIRQUE;13.429;920;1.024;881;976;1.056;1.108;890;861;890;906;1.024;886;678;484;383;228;116;81;30;3;4
SAN JOSÉ DE MAIPO;9.861;566;538;596;573;672;832;814;837;854;799;744;627;487;317;269;145;112;59;18;1;1
COLINA;74.635;6.727;7.010;5.968;5.730;6.027;5.924;5.612;6.257;6.223;5.282;4.279;3.160;2.390;1.695;1.120;632;348;167;55;20;9
LAMPA;51.545;4.781;4.832;4.155;3.904;3.841;4.299;4.476;4.283;4.001;3.364;2.889;2.238;1.656;1.089;762;481;276;143;51;18;6
TILTIL;10.047;736;692;685;790;859;840;732;666;690;668;673;570;409;384;284;182;114;56;12;4;1
SAN BERNARDO;147.800;11.471;12.033;11.251;12.223;13.081;12.728;10.870;10.205;10.146;9.716;8.991;7.930;6.015;4.351;3.103;1.832;1.054;573;164;49;14
BUIN;47.575;3.742;3.843;3.482;3.575;3.718;4.106;3.822;3.617;3.317;3.108;3.006;2.636;1.881;1.335;994;658;422;207;83;13;10
CALERA DE TANGO;12.718;832;926;939;1.029;1.132;1.044;779;796;930;858;881;800;621;456;322;169;117;62;17;4;4
PAINE;36.521;2.638;2.817;2.632;2.759;2.947;2.906;2.584;2.588;2.500;2.474;2.497;2.115;1.625;1.328;937;577;311;203;63;15;5
MELIPILLA;61.410;4.324;4.576;4.308;4.634;4.746;5.030;4.474;4.225;4.012;3.902;4.009;3.644;2.858;2.245;1.788;1.230;792;423;156;23;11
ALHUÉ;3.516;205;206;201;189;256;318;289;264;381;241;251;196;167;128;82;56;47;31;6;2;0
CURACAVÍ;16.222;1.125;1.174;1.108;1.155;1.272;1.327;1.095;1.095;1.038;1.012;1.142;1.045;777;635;494;355;228;99;32;9;5
MARÍA PINTO;6.830;464;475;450;477;496;586;470;454;464;479;489;407;327;261;214;133;92;63;21;5;3
SAN PEDRO;5.132;352;345;318;304;332;388;366;338;319;320;360;357;294;243;189;152;88;48;13;4;2
TALAGANTE;36.769;2.727;2.807;2.618;2.839;3.145;3.074;2.690;2.501;2.464;2.436;2.485;2.274;1.574;1.146;818;566;334;193;58;9;11
EL MONTE;17.793;1.430;1.416;1.225;1.321;1.500;1.488;1.276;1.169;1.169;1.133;1.226;1.007;790;570;453;303;184;93;34;4;2
