Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
VILLA ALEMANA;126.548;8.227;8.705;8.363;9.428;9.779;9.477;8.536;8.235;8.274;8.076;8.453;8.049;6.445;4.993;4.250;2.981;2.117;1.405;595;128;32
SANTIAGO;404.495;20.617;15.685;12.998;17.845;41.617;66.859;58.544;40.643;29.044;21.803;19.528;16.473;12.820;9.465;7.449;5.328;3.738;2.602;1.027;302;108
CERRILLOS;80.832;5.537;5.492;5.204;5.861;7.171;6.456;5.694;5.398;5.627;5.275;5.396;4.510;3.602;2.963;2.550;1.862;1.154;738;267;57;18
CERRO NAVIA;132.622;8.880;8.712;8.651;9.716;11.541;11.173;8.898;8.142;8.855;9.115;9.063;7.466;6.013;5.340;4.550;3.160;1.842;1.028;340;103;34
CONCHALÍ;126.955;7.989;8.072;7.548;8.557;10.503;10.820;8.817;7.888;8.133;8.275;8.972;7.941;5.988;4.801;4.250;3.533;2.521;1.625;552;127;43
EL BOSQUE;162.505;10.673;11.785;10.559;11.777;13.303;14.114;11.133;10.021;9.812;10.132;11.023;10.091;8.212;6.348;5.352;3.737;2.362;1.473;452;104;42
ESTACIÓN CENTRAL;147.041;8.746;8.065;7.208;8.705;13.757;16.292;13.030;10.636;9.561;8.965;9.676;8.365;6.631;5.109;4.487;3.361;2.224;1.468;567;152;36
HUECHURABA;98.671;7.389;8.059;7.543;7.542;7.509;6.959;6.490;7.243;8.272;7.858;6.470;4.508;3.416;3.161;2.804;1.732;999;500;160;34;23
INDEPENDENCIA;100.281;6.607;5.564;4.663;5.518;9.675;12.199;9.964;7.948;6.913;5.818;5.519;4.790;4.098;3.236;2.821;1.932;1.399;971;463;140;43
LA CISTERNA;90.119;5.382;5.598;5.049;5.686;7.049;8.127;7.236;6.149;5.718;5.510;5.630;5.501;4.539;3.754;3.121;2.395;1.769;1.241;502;131;32
LA FLORIDA;366.916;22.262;23.024;22.005;24.846;28.971;31.107;27.114;25.036;24.730;23.060;23.477;23.444;20.750;16.708;12.878;8.072;4.896;3.035;1.123;278;100
LA GRANJA;116.571;7.646;7.622;7.289;8.335;9.766;9.849;8.088;6.949;6.700;6.644;8.235;8.658;6.880;4.863;3.328;2.190;1.772;1.245;406;70;36
LA PINTANA;177.335;13.981;14.346;13.351;13.930;15.349;14.927;12.588;11.563;11.181;10.215;10.805;10.269;8.622;6.553;4.487;2.757;1.374;740;214;66;17
